No.,所属,母優,馬名,募集馬名,父名,"2023年
種付け料","2025年
種付け料",母父,性,色付け,毛色,生年月日,募集価格,価格帯,厩舎,提供牧場,生産牧場,育成牧場,体高,胸囲,管囲,馬体重,"8月中旬
馬体重","バッタさん
予測馬体重",母成績,国内/海外,母の生産国,母の現役時所属,主な勝ち鞍,クラス,産齢,出産,セール出身,コメント,手術歴・癖,インブリード,抽選ステージ,母優無当選率,1次募集残口,人気ランク,馬名の由来,育成移動,外厩移動,"9/30
馬体重","10/31
馬体重","11/28
馬体重","1/15
馬体重","2/15
馬体重","3/15
馬体重","4/15
馬体重","10/31
坂路","11/28
坂路","12/26
坂路","01/15
坂路","01/31
坂路","02/15
坂路","02/28
坂路","03/15
坂路","03/31
坂路","04/15
坂路","04/30
坂路","9/30
体重差分","10/31
体重差分","11/28
体重差分","03/15
体重差分",No.募集馬名
45,1.関東,2.無,エピックムーン,ムーングロウの24,リアルスティール,300,500,Nayef,2.牝,2.無2.牝,鹿,04/05,"3,200",3000,蛯名正義,ノーザンF,ノーザンF,ＮＦ早来,149.5,169.5,18.8,399,403,431,4戦0勝,海外,イギリス,海外馬主,なし,1.未勝利馬,15,連産11,,,両後膝OCD除去手術（2024/11/25）,"Storm Bird 4×3, Mr. Prospector 4×4,　Highclere 5×4, Busted 5×5",E.一般当選,100.0%,101以上,87,素晴らしい月。母名より連想,2025/09/29 ,,435,426,424,429,,,,,17-20,17-18,16-18,,,,,,,,36,27,25,,45.ムーングロウの24
46,1.関東,2.無,リリコイ,マラクージャの24,Not This Time,"$135,000","$175,000",オナーコード,2.牝,2.無2.牝,栗,01/10,"5,000",5000,木村哲也,ノーザンF,ノーザンF,ＮＦ早来,157,173,19.5,473,485,482,11戦3勝,海外,アメリカ,海外馬主,GⅠCCAオークスダート1800m,5.GⅠ勝ち馬,6,初仔,,,左腕節感染性関節炎により関節洗浄（2024/2/7）、右後膝感染性関節炎により関節洗浄（2024/7/22）、両飛節OCD除去手術（2025/2/28）,"Storm Cat 3×4, Secretariat 5×5",D.一般抽選,51.1%,満口,59,パッションフルーツ（ハワイ語）。母名より連想,2025/09/08 ,,483,468,481,490,,,,17-18,17-18,右トモ打撲,17-20,,,,,,,,10,-5,8,,46.マラクージャの24
47,2.関西,2.無,レイアパショナード,ヒルダズパッションの24,キタサンブラック,"1,000","2,000",Canadian Frontier,1.牡,2.無1.牡,黒鹿,01/26,"10,000",10000,福永祐一,ノーザンF,ノーザンF,ＮＦ早来,162,176.5,20.5,484,485,523,14戦8勝,海外,アメリカ,海外馬主,GⅠバレリーナSダート1400m、その他重賞4勝,5.GⅠ勝ち馬,17,流産明け,,,,Lyphard 5×5,D.一般抽選,44.4%,満口,57,情熱的な王（西）。これからの活躍をイメージして。母名より連想,2025/09/06 ,,496,493,489,504,,,,18-20,16-18,16-17,16-17,,,,,,,,12,9,5,,47.ヒルダズパッションの24
48,2.関西,1.有,スタニスラス,マルシュロレーヌの24,キタサンブラック,"1,000","2,000",オルフェーヴル,1.牡,1.有1.牡,鹿,03/31,"16,000",10000,矢作芳人,ノーザンF,ノーザンF,ＮＦ空港,157,181,21.3,477,489,522,22戦9勝,国内,日本,キャロット,GⅠBCディスタフD1800m、その他交流重賞4勝,5.GⅠ勝ち馬,8,連産2,,,,"サンデーサイレンス 3×4, Lyphard 5×5×5, ノーザンテースト 5×5",A.×2抽選,61.5%,満口,1,世界遺産に登録されたロレーヌ地方にある広場のひとつ。母名より連想,2025/09/02 ,,492,494,480,500,,,,18-20,17-18,16-18,16-17,,,,,,,,15,17,3,,48.マルシュロレーヌの24
49,2.関西,2.無,エトワールビズー,ミッドナイトビズーの24,キタサンブラック,"1,000","2,000",Midnight Lute,2.牝,2.無2.牝,鹿,02/22,"7,000",7000,高野友和,ノーザンF,ノーザンF,ＮＦ早来,151.5,169.5,18.3,390,398,414,22戦14勝,海外,アメリカ,海外馬主,GⅠサウジカップD1800m、その他GⅠ5勝,5.GⅠ勝ち馬,9,連産3,,,,Lyphard 5×5,E.一般当選,100.0%,101以上,86,星からのキス（仏）。夜空に輝く星のように、見る人を魅了して欲しい,2025/10/06 ,,413,396,397,419,,,,,,19-20,17-18,,,,,,,,23,6,7,,49.ミッドナイトビズーの24
50,2.関西,2.無,ランブルトーン,サンダードラムの24,キタサンブラック,"1,000","2,000",Dubawi,2.牝,2.無2.牝,鹿,04/21,"7,000",7000,中内田充正,ノーザンF,ノーザンF,ＮＦ早来,151.5,176,20,429,428,460,13戦2勝,海外,アイルランド,海外馬主,GⅢロワイヨモン賞芝2400m,4.GⅡGⅢ勝ち馬（地方重賞含む）,6,初仔,,,,Lyphard 5×5,B.×1抽選,33.3%,満口,4,轟音＋音色。轟く音色を想像して。母名より連想,2025/10/07 ,,453,440,435,433,,,,20,18,15-18,17-20,,,,,,,,24,11,6,,50.サンダードラムの24
51,2.関西,1.有,フィネスブレード,フィニフティの24,ロードカナロア,"1,200","1,000",ディープインパクト,1.牡,1.有1.牡,鹿,03/09,"7,000",7000,藤原英昭,ノーザンF,ノーザンF,ＮＦ空港,156,172,20.1,410,419,457,16戦1勝,国内,日本,キャロット,GⅢ2着クイーンS芝1600ｍ,2.条件馬,8,連産3,,,,Mr. Prospector 4×5,D.一般抽選,27.9%,満口,50,技巧の刃。切れ味のある脚を使えることを期待して,2025/10/14 ,,439,432,428,452,,,,,18-20,17-18,16-17,,,,,,,,29,22,18,,51.フィニフティの24
52,2.関西,1.有,クラフティ,ダイアナブライトの24,ロードカナロア,"1,200","1,000",ディープインパクト,2.牝,1.有2.牝,鹿,02/23,"5,000",5000,高野友和,ノーザンF,ノーザンF,ＮＦ早来,155,176,20,435,446,452,14戦4勝,国内,日本,キャロット,JpnⅢクイーンSダート1800m,4.GⅡGⅢ勝ち馬（地方重賞含む）,8,連産2,,,右飛節OCD除去手術（2025/1/27）,ー,D.一般抽選,55.0%,満口,60,さくらんぼなどを散りばめたフランスの伝統菓子名。母名より連想,2025/09/08 ,,456,467,442,442,,,,17-19,17-19,16-17,16-17,,,,,,,,21,32,7,,52.ダイアナブライトの24
53,2.関西,1.有,ブレイズフォート,プルメリアスターの24,エピファネイア,"1,800","1,200",ゼンノロブロイ,1.牡,1.有1.牡,鹿,03/26,"8,000",8000,高野友和,ノーザンF,ノーザンF,ＮＦ早来,154.5,173,20.1,441,446,489,20戦3勝,国内,日本,キャロット,1勝クラス特別戦芝1600m,2.条件馬,12,連産6,,,,"サンデーサイレンス 4×3, Sadler's Wells 4×5, Hail to Reason 5×5",A.×2抽選,84.6%,満口,2,炎の砦。燃えるような速さと揺るがぬ力の意味を込めて,2025/09/11 ,,444,447,457,460,,,,18-20,17,17-18,16-17,,,,,,,,3,6,16,,53.プルメリアスターの24
54,2.関西,2.無,バティック,イカットの24,エピファネイア,"1,800","1,200",ディープインパクト,2.牝,2.無2.牝,栗,03/17,"5,000",5000,上村洋行,ノーザンF,ノーザンF,ＮＦ空港,152,177,19.5,452,462,469,11戦3勝,国内,日本,吉田和美,2勝クラス特別戦芝1800m,2.条件馬,7,連産2,,,,"サンデーサイレンス 4×3, Hail to Reason 5×5",C.×0抽選,97.1%,満口,22,インドネシアやマレーシアで作られるろうけつ染め布地。母名より連想,2025/10/27 ,,460,480,470,460,,,,,,17-18,17,,,,,,,,8,28,18,,54.イカットの24
55,2.関西,1.有,ラトナジャーラ,シンハライトの24,サートゥルナーリア,800,"1,000",ディープインパクト,2.牝,1.有2.牝,黒鹿,02/08,"7,000",7000,斎藤崇史,ノーザンF,ノーザンF,ＮＦ早来,155,175,20.1,441,446,453,6戦5勝,国内,日本,キャロット,GⅠオークス芝2400m、他重賞2勝,5.GⅠ勝ち馬,11,連産2,,,,"サンデーサイレンス 4×3, Halo 5×4×5, Sadler's Wells 4×5",B.×1抽選,100.0%,満口,9,宝石の連なり（サンスクリット）。一族の繁栄と活躍を願い。母名より,2025/09/26 ,,442,424,432,430,,,,18-20,17-18,16-18,16-17,,,,,,,,1,-17,-9,,55.シンハライトの24
56,2.関西,1.有,リスグロワール,リスグラシューの24,サートゥルナーリア,800,"1,000",ハーツクライ,2.牝,1.有2.牝,黒鹿,04/01,"8,000",8000,矢作芳人,ノーザンF,ノーザンF,ＮＦ早来,156,180,19.8,451,458,476,19戦6勝,国内,日本,キャロット,有馬、宝塚、エリ女、コックスプレートGⅠ4勝,5.GⅠ勝ち馬,10,連産4,,,,"サンデーサイレンス 4×3, Sadler's Wells 4×5, Lyphard 5×5",B.×1抽選,66.7%,満口,6,百合（仏）＋栄光（仏）。母と同じような栄光をつかむことを願って,2025/09/01 ,,439,442,437,439,,,,17-18,17-18,17-18,17,,,,,,,,-12,-9,-14,,56.リスグラシューの24
57,2.関西,2.無,マニフォールド,ソーメニーウェイズの24,キズナ,"1,200","2,000",Sightseeing,1.牡,2.無1.牡,鹿,04/18,"8,000",8000,池添学,ノーザンF,ノーザンF,ＮＦ空港,154,173,20,425,429,482,10戦5勝,海外,アメリカ,海外馬主,GⅠスピナウェイSダート1400m、他重賞2勝,5.GⅠ勝ち馬,14,連産8,,,,"Seattle Slew 5×5, Secretariat 5×5",D.一般抽選,87.1%,満口,67,多彩な、数多くの。無数の可能性を願って。母名より連想,2025/09/29 ,,434,444,435,450,,,,,18-20,16-17,16-17,,,,,,,,9,19,10,,57.ソーメニーウェイズの24
58,2.関西,2.無,スターリーフライト,ヤングスターの24,コントレイル,"1,200","1,800",High Chaparral,2.牝,2.無2.牝,鹿,02/19,"7,000",7000,安田翔伍,ノーザンF,ノーザンF,ＮＦ早来,154.5,171,18.8,388,393,412,26戦4勝,海外,オーストラリア,海外馬主,GⅠBRCクイーンズランドオークス芝2200m、他GⅡ1勝,5.GⅠ勝ち馬,10,流産明け,,,左飛節OCD除去手術（2025/1/9）,"Northern Dancer 4×5, Shirley Heights 5×5",E.一般当選,100.0%,5,70,星空飛行。星々のように輝く走りを願って。父名、母名より連想,2025/10/06 ,,397,424,404,406,,,,,18-20,17-20,軽めの運動,,,,,,,,9,36,16,,58.ヤングスターの24
59,2.関西,1.有,デュアルサイン,メサルティムの24,スワーヴリチャード,200,"1,500",ディープブリランテ,1.牡,1.有1.牡,黒鹿,02/19,"5,000",5000,武幸四郎,ノーザンF,白老F,ＮＦ空港,156,171,20.6,440,468,479,15戦3勝,国内,日本,キャロット,2勝クラス特別戦芝1800m,2.条件馬,9,連産3,,,,"サンデーサイレンス 3×4, Riverman 5×5",C.×0抽選,92.9%,満口,21,二つの印。母名のメサルティムが二重星であることから連想,2025/09/02 ,,455,470,471,490,,,,18-20,16-18,16-17,16-17,,,,,,,,15,30,31,,59.メサルティムの24
60,2.関西,2.無,バルチックアンバー,コハクトウの24,ナダル,350,"1,000",ルーラーシップ,1.牡,2.無1.牡,鹿,05/15,"5,000",5000,奥村豊,丸村村下F＊,丸村村下F,ＮＦ空港,152,174.5,20.4,430,441,493,2戦0勝,国内,日本,吉田照哉,なし,1.未勝利馬,7,連産4,"2025年セレクションセール落札価格3,960万円",確定版で追加,,Mr. Prospector 5×5×5,B.×1抽選,94.7%,満口,8,世界的に有名なバルト海の琥珀。母名より連想,2025/09/24 ,,465,472,480,487,,,,ハ行,,17-18,17,,,,,,,,35,42,50,,60.コハクトウの24
61,2.関西,2.無,ガランテリア,エレガンテレイナの24,モーリス,800,800,キンシャサノキセキ,1.牡,2.無1.牡,鹿,02/05,"4,000",4000,西村真幸,ノーザンF,ノーザンF,ＮＦ空港,155,181,19.7,439,459,465,17戦2勝,国内,日本,グリーンファーム,1勝クラス芝1200m,2.条件馬,7,初仔,,,,"サンデーサイレンス 4×4, Lyphard 5×5",E.一般当選,100.0%,35,76,紳士的な振る舞い（西）。母名より連想,2025/09/09 ,,460,469,471,483,,,,,18,17-18,16-17,,,,,,,,21,30,32,,61.エレガンテレイナの24
62,2.関西,1.有,コルベータ,レシステンシアの24,モーリス,800,800,ダイワメジャー,1.牡,1.有1.牡,鹿,03/11,"8,000",8000,松下武士,ノーザンF,ノーザンF,ＮＦ早来,153,176.5,19.8,446,457,483,18戦5勝,国内,日本,キャロット,GⅠ阪神JF芝1600m、他重賞3勝,5.GⅠ勝ち馬,7,初仔,,,,"サンデーサイレンス 4×3, Sadler's Wells 4×5, ノーザンテースト5×4, Northern Dancer 5×5",C.×0抽選,90.9%,満口,20,高速船（西）。両親のようなスピードと力強さから連想,2025/09/03 ,,434,456,459,447,,,,,17-19,15-17,15-16,,,,,,,,-12,10,13,,62.レシステンシアの24
63,2.関西,1.有,モンシャルム,シャルールの24,モーリス,800,800,ゼンノロブロイ,2.牝,1.有2.牝,栗,03/20,"4,000",4000,松永幹夫,白老F,白老F,ＮＦ空港,152,174,19.2,422,445,447,23戦4勝,国内,日本,キャロット,GⅢ2着クイーンS芝1800ｍ,3.オープン馬,12,空胎明け,,,左後肢球節感染性関節炎により関節洗浄（2024/6/29）、左後肢球節骨折により骨片除去手術（2025/7/18）、右後肢球節OCD除去手術（2025/7/18）,サンデーサイレンス 4×3,D.一般抽選,24.2%,満口,43,私の魅力（仏）。本馬の可愛らしい顔と母名の一部より連想,,,422,448,446,445,,,,術後良好,,,軽めの運動,,,,,,,,0,26,24,,63.シャルールの24
64,2.関西,2.無,ルーチェドンナ,マリーナドンナの24,モーリス,800,800,ロードカナロア,2.牝,2.無2.牝,鹿,03/27,"2,800",2000,茶木太樹,ノーザンF＊,ノーザンF,ＮＦ早来,152,173,19.2,412,413,442,5戦0勝,国内,日本,サンデー,なし,1.未勝利馬,5,初仔,"セレクトセール2025落札価格1,980万円",確定版で追加,,"サンデーサイレンス 3×4, Northern Dancer 5×5",D.一般抽選,100.0%,満口,68,光（伊）＋女性（伊）。光り輝く淑女をイメージして。母名より連想,2025/10/06 ,,426,416,420,410,,,,,20,16-17,15-16,,,,,,,,14,4,8,,64.マリーナドンナの24
65,2.関西,2.無,ストラテジスト,アドマイヤリードの24,レイデオロ,700,250,ステイゴールド,1.牡,2.無1.牡,青鹿,03/16,"7,000",7000,斎藤崇史,ノーザンF,ノーザンF,ＮＦ早来,153,169.5,20.3,427,429,473,24戦6勝,国内,日本,近藤利一,GⅠヴィクトリアM芝1600m,5.GⅠ勝ち馬,11,連産5,,,,Mr. Prospector 4×5×4,D.一般抽選,24.6%,満口,44,戦略家。最高の舞台へ導く存在となるように,2025/09/25 ,,449,440,455,450,,,,20,16-18,16-17,16,,,,,,,,22,13,28,,65.アドマイヤリードの24
66,2.関西,1.有,カミーノドーロ,コルコバードの24,レイデオロ,700,250,ステイゴールド,2.牝,1.有2.牝,栗,01/15,"5,000",5000,池江泰寿,ノーザンF,ノーザンF,ＮＦ空港,153.5,172,19,412,417,424,16戦5勝,国内,日本,キャロット,3勝クラス特別戦芝2200m,3.オープン馬,11,連産2,,,,Mr. Prospector 4×5×5,E.一般当選,100.0%,51,78,金の道（ポルトガル語）。ブラジルの歴史的な街道名。両親名より連想,2025/09/30 ,,429,408,404,419,,,,,18-20,18,18,,,,,,,,17,-4,-8,,66.コルコバードの24
67,2.関西,1.有,アッサンブラージュ,グリューヴァインの24,ドレフォン,700,500,ゴールドアリュール,2.牝,1.有2.牝,鹿,03/09,"3,200",3000,大久保龍志,ノーザンF,ノーザンF,ＮＦ早来,153,178,19.6,455,452,468,23戦3勝,国内,日本,キャロット,1勝クラスダート1200m,2.条件馬,12,連産6,,,,ー,D.一般抽選,25.0%,満口,45,ワイン原酒を混ぜ合わせる伝統的なワイン製造技術。母名より連想,2025/09/01 ,,461,442,436,430,,,,16-17,16-18,16-18,16-17,,,,,,,,6,-13,-19,,67.グリューヴァインの24
68,2.関西,1.有,ピースインサイト,ピースエンブレムの24,アルアイン,150,80,ウォーエンブレム,1.牡,1.有1.牡,鹿,03/25,"3,000",3000,池添学,ノーザンF,ノーザンF,ＮＦ早来,153,175.5,21.8,474,485,515,17戦4勝,国内,日本,キャロット,2勝クラス特別戦ダート1800m,2.条件馬,18,連産5,,,,Mr. Prospector 4×5,D.一般抽選,9.3%,満口,31,平和＋洞察。平和に関する深い洞察。母名より連想,2025/10/01 ,,499,506,520,530,,,,,18-20,18,16-17,,,,,,,,25,32,46,,68.ピースエンブレムの24
69,2.関西,1.有,エテルノアーラ,デスティノアーラの24,エフフォーリア,300,400,ディープインパクト,2.牝,1.有2.牝,黒鹿,02/28,"2,800",2000,清水久詞,ノーザンF＊,ノーザンF,ＮＦ早来,153,169.5,20.6,427,438,447,9戦0勝,国内,日本,キャロット,なし,1.未勝利馬,6,連産2,"セレクトセール2025落札価格1,980万円",確定版で追加,,サンデーサイレンス 5×4×3,C.×0抽選,70.0%,満口,18,永遠（伊）＋翼（伊）。母名より連想,2025/09/18 ,,452,446,450,450,,,,20,17-18,16-17,17,,,,,,,,25,19,23,,69.デスティノアーラの24
70,2.関西,1.有,イモージェン,シーリアの24,サリオス,150,200,キングカメハメハ,2.牝,1.有2.牝,青鹿,02/23,"4,600",4000,池添学,ノーザンF,ノーザンF,ＮＦ空港,151,177.5,19.2,458,463,468,14戦2勝,国内,日本,キャロット,1勝クラス芝1800m,2.条件馬,9,連産3,,確定版で追加,,サンデーサイレンス 3×4,C.×0抽選,38.9%,満口,13,戯曲の登場人物名。芯のある女性をイメージして,2025/10/07 ,,478,460,469,460,,,,,,17-18,16-17,,,,,,,,20,2,11,,70.シーリアの24
71,2.関西,2.無,ライナールビン,レッドティーの24,リオンディーズ,400,400,Sakhee,1.牡,2.無1.牡,鹿,03/28,"4,000",4000,渡辺薫彦,ノーザンF,ノーザンF,ＮＦ空港,155,172,19.9,423,428,475,36戦8勝,海外,イギリス,海外馬主,GⅡキルボイエステイトS芝1800m,4.GⅡGⅢ勝ち馬（地方重賞含む）,11,連産4,,確定版で追加,,"Sadler's Wells 4×4, Nureyev 5×5",E.一般当選,100.0%,31,75,純粋な紅玉（ルビー）（独）。母名より連想,2025/09/16 ,,451,452,460,481,,,,18-20,17-18,16-17,16-17,,,,,,,,28,29,37,,71.レッドティーの24
72,2.関西,1.有,スイートリディア,クラシックリディアの24,アドマイヤマーズ,250,500,ハービンジャー,2.牝,1.有2.牝,鹿,04/03,"3,000",3000,高橋亮,ノーザンF,ノーザンF,ＮＦ空港,154,174,19.8,438,439,466,16戦1勝,国内,日本,キャロット,新馬芝1600m,2.条件馬,11,連産5,,,,"サンデーサイレンス 3×4, Northern Dancer 5×5",C.×0抽選,58.8%,満口,15,スプレーバラの一品種名。可憐に咲き誇る姿を願って。母名より連想,2025/09/26 ,,453,430,434,447,,,,,18,17,17,,,,,,,,15,-8,-4,,72.クラシックリディアの24
73,2.関西,2.無,ベイカーズダズン,サーティーンスクエアドの24,オルフェーヴル,350,350,Liaison,1.牡,2.無1.牡,鹿,03/18,"3,600",3000,福永祐一,白老F,白老F,ＮＦ空港,151,167,20.1,418,432,468,10戦1勝,海外,アメリカ,海外馬主,GⅡ2着サマータイムオークスダート1700m,3.オープン馬,9,連産5,,,,ノーザンテースト 5×4,D.一般抽選,22.8%,満口,42,英語で十二を超える十三を指し、期待以上を表す表現。母名より,2025/10/13 ,,424,440,436,444,,,,,18-20,17-18,16-17,,,,,,,,6,22,18,,73.サーティーンスクエアドの24
74,2.関西,1.有,エレンデール,ユールフェストの24,サトノダイヤモンド,250,100,More Than Ready,2.牝,1.有2.牝,鹿,05/03,"1,800",1000,橋口慎介,ノーザンF,白老F,ＮＦ空港,154.5,171.5,20.3,443,456,482,16戦2勝,国内,日本,キャロット,1勝クラス芝1200m,2.条件馬,15,連産3,,,,"サザンヘイロー 4×3, Halo 4×5×4",D.一般抽選,28.4%,満口,52,オーストラリアにあるダイヤモンド鉱山名。父名、母名より連想,2025/09/17 ,,448,455,450,471,,,,,17-18,骨片除去手術,曳き運動,,,,,,,,5,12,7,,74.ユールフェストの24
75,2.関西,1.有,コルキス,ココファンタジアの24,シスキン,250,300,ステイゴールド,1.牡,1.有1.牡,青鹿,04/15,"4,000",4000,須貝尚介,ノーザンF,白老F,ＮＦ空港,151.5,167,20.5,424,443,482,20戦3勝,国内,日本,キャロット,2勝クラス特別戦芝1400m,2.条件馬,11,連産5,,,,ー,C.×0抽選,38.5%,満口,12,ギリシャ神話に登場する地名。黄金の羊毛が眠る地。母系より連想,2025/09/29 ,,432,450,451,465,,,,18-20,17-18,16-18,16-17,,,,,,,,8,26,27,,75.ココファンタジアの24
76,2.関西,1.有,カーソンスルー,パッシングスルーの24,シルバーステート,600,500,ルーラーシップ,2.牝,1.有2.牝,黒鹿,02/26,"4,000",4000,武英智,ノーザンF,ノーザンF,ＮＦ空港,152,172.5,19.5,390,406,412,11戦3勝,国内,日本,キャロット,GⅢ紫苑S芝2000m,4.GⅡGⅢ勝ち馬（地方重賞含む）,8,連産2,,,,"Hail to Reason 5×5, Mr. Prospector 5×5",E.一般当選,100.0%,14,73,アメリカ、ネバダ州の南部にある湧水域。父名、母名より連想,2025/09/26 ,,418,413,405,408,,,,,18,16-18,16-17,,,,,,,,28,23,15,,76.パッシングスルーの24
77,2.関西,1.有,パルクデュレーヴ,エールデュレーヴの24,ニューイヤーズデイ,250,200,ディープインパクト,2.牝,1.有2.牝,黒鹿,04/07,"2,800",2000,高柳大輔,ノーザンF,ノーザンF,ＮＦ早来,151,168.5,19,393,394,430,16戦3勝,国内,日本,キャロット,2勝クラス特別戦芝2000m,2.条件馬,11,連産6,,,左後膝OCD除去手術（2024/11/15）,"Halo 5×4, Riverman 5×5",E.一般当選,100.0%,101以上,87,夢への道のり（仏）。母名より連想,2025/10/07 ,,410,435,436,421,,,,,20,16-17,16,,,,,,,,17,42,43,,77.エールデュレーヴの24
78,2.関西,1.有,フラムルージュ,クロワドフェールの24,フィエールマン,200,150,ハービンジャー,2.牝,1.有2.牝,黒鹿,01/18,"2,400",2000,吉岡辰弥,ノーザンF,ノーザンF,ＮＦ空港,155,176,19.7,436,427,445,17戦3勝,国内,日本,キャロット,2勝クラス特別戦芝1800m,2.条件馬,7,初仔,,,,サンデーサイレンス 3×4,D.一般抽選,15.4%,満口,36,自転車レースの残り1キロ地点に設置されるアーチ。母名より連想,2025/09/10 ,,421,428,439,448,,,,18-20,17-18,17,16-17,,,,,,,,-15,-8,3,,78.クロワドフェールの24
79,2.関西,1.有,ラスゲアード,バイラオーラの24,ポエティックフレア,500,Private,トワイニング,1.牡,1.有1.牡,栗,03/04,"3,600",3000,長谷川浩大,ノーザンF,白老F,ＮＦ空港,151.5,167.5,20.2,431,431,468,24戦4勝,国内,日本,キャロット,2勝クラス特別戦芝1000m,2.条件馬,17,連産2,,,,ー,D.一般抽選,32.6%,満口,54,フラメンコギターの奏法のひとつ。母名より連想,2025/10/27 ,,431,444,458,464,,,,,18-20,17-18,17,,,,,,,,0,13,27,,79.バイラオーラの24
80,2.関西,1.有,クローネンリーベ,ブルーメンクローネの24,マインドユアビスケッツ,400,200,キングカメハメハ,2.牝,1.有2.牝,栗,02/07,"2,800",2000,小林真也,ノーザンF,ノーザンF,ＮＦ早来,155,185,19.8,500,512,501,17戦5勝(中央2勝),国内,日本,キャロット,2勝クラスダート1800m,2.条件馬,9,連産3,,,,"Mr. Prospector 5×4, Deputy Minister 4×5",D.一般抽選,18.1%,満口,39,王冠の愛（独）。母の王冠（クローネ）を受け継ぐことをイメージして,2025/09/08 ,,497,496,512,520,,,,17-19,17-18,16-17,16-17,,,,,,,,-3,-4,12,,80.ブルーメンクローネの24
81,2.関西,1.有,バヤールロック,アルドゥエンナの24,ルーラーシップ,350,400,スクリーンヒーロー,1.牡,1.有1.牡,黒鹿,02/05,"3,200",3000,中村直也,ノーザンF,ノーザンF,ＮＦ早来,151,174.5,20.7,445,445,475,4戦0勝,国内,日本,キャロット,なし,1.未勝利馬,5,初仔,,,,"サンデーサイレンス 4×5, ノーザンテースト 4×5, Roberto 5×5",C.×0抽選,100.0%,満口,24,ベルギーのアルドゥエンナの森にある岩の名前。母名より連想,2025/09/06 ,,441,445,443,432,,,,18,16-18,16-17,16-17,,,,,,,,-4,0,-2,,81.アルドゥエンナの24
82,2.関西,2.無,クリムゾンヒート,バーニングヒートの24,イスラボニータ,150,200,ドレフォン,1.牡,2.無1.牡,栗,01/21,"2,600",2000,小栗実,宮内牧場＊,宮内牧場,ＮＦ空港,152,173,20.8,450,470,476,7戦0勝,国内,日本,社台,なし,1.未勝利馬,5,初仔,"2025年セレクションセール落札価格1,760万円",確定版で追加,,ー,D.一般抽選,25.0%,満口,46,深紅の熱。勝利への強い情熱をイメージして。母名より連想,2025/09/09 ,,452,460,456,478,,,,18-20,17-18,16-17,16-17,,,,,,,,2,10,6,,82.バーニングヒートの24
83,2.関西,2.無,クレイヴィング,アディクティドの24,インディチャンプ,120,120,ディクタット,1.牡,2.無1.牡,芦,04/26,"4,000",4000,斎藤崇史,ノーザンF,ノーザンF,ＮＦ早来,152.5,173,20.5,428,432,485,7戦2勝,海外,ドイツ,海外馬主,GⅢシュヴァルツゴルトレネン芝1600m,4.GⅡGⅢ勝ち馬（地方重賞含む）,18,連産5,,,,In Reality 5×5,C.×0抽選,61.5%,満口,16,熱望。母名より連想,2025/09/22 ,,462,465,467,464,,,,,16-18,16-18,17-18,,,,,,,,34,37,39,,83.アディクティドの24
84,2.関西,1.有,フラガンシア,アロマドゥルセの24,ベンバトル,250,250,ディープインパクト,2.牝,1.有2.牝,黒鹿,02/20,"2,800",2000,田中克典,ノーザンF,ノーザンF,ＮＦ空港,152,173,20,421,428,438,21戦3勝,国内,日本,キャロット,1勝クラス特別戦芝2400m,2.条件馬,10,連産4,,,,ー,D.一般抽選,16.4%,満口,37,上品な香り、芳香（西）。母名より連想,2025/09/15 ,,439,438,444,453,,,,,18,17,17,,,,,,,,18,17,23,,84.アロマドゥルセの24
85,2.関西,1.有,ヒメハッカ,カイカヨソウの24,ホットロッドチャーリー,200,150,ティンバーカントリー,2.牝,1.有2.牝,青鹿,04/28,"2,800",2000,寺島良,ノーザンF,白老F,ＮＦ空港,153,169,19.4,397,419,440,23戦7勝,国内,日本,キャロット,(地方重賞)ロジータ記念ダート2100m、他地方重賞5勝,4.GⅡGⅢ勝ち馬（地方重賞含む）,14,連産7,,,,Mr. Prospector 4×5,E.一般当選,100.0%,101以上,82,日本固有の薄荷。美徳という花言葉を持つ。母名より連想,2025/10/07 ,,405,420,433,448,,,,,18,17-18,17-18,,,,,,,,8,23,36,,85.カイカヨソウの24
86,2.関西,2.無,エボンモナーク,ジョイネヴァーランドの24,American Pharoah,"$60,000","$45,000",Fortify,1.牡,2.無1.牡,黒鹿,04/11,"8,000",8000,松永幹夫,ノーザンF＊,ノーザンF,ＮＦ早来,156,178,21.4,474,482,524,10戦4勝,海外,アルゼンチン,海外馬主,GⅠコパデプラタインテルナシオナル芝2000m,5.GⅠ勝ち馬,7,初仔,"セレクトセール2025落札価格5,500万円",確定版で追加,,Storm Cat 4×5,D.一般抽選,14.0%,満口,34,黒の君主。父名、毛色より連想,2025/09/17 ,,504,486,499,504,,,,,18-20,17-18,フレグモーネ,,,,,,,,30,12,25,,86.ジョイネヴァーランドの24
87,2.関西,2.無,インティサール,ミスエクストラの24,Baaeed,"£80,000","£65,000",Masterstroke,2.牝,2.無2.牝,鹿,03/15,"4,000",4000,杉山佳明,ノーザンF,ノーザンF,ＮＦ空港,151.5,173.5,19.5,437,438,457,10戦3勝,海外,フランス,海外馬主,ＧⅡサンドリンガム賞芝1600m,4.GⅡGⅢ勝ち馬（地方重賞含む）,7,連産2,,,,"Urban Sea 3×4, Mr. Prospector 5×4",D.一般抽選,28.2%,満口,51,勝利（アラビア語）。多くの勝利を目指して,2025/10/01 ,,449,454,460,462,,,,,18,17-18,17-18,,,,,,,,12,17,23,,87.ミスエクストラの24
